name,asset_type_name,description
Category 3237,Tangible assets,Description for category 3237
Category 3238,Intangible assets,Description for category 3238
Category 3239,Intangible assets,Description for category 3239
Category 3240,Intangible assets,Description for category 3240
Category 3241,Intangible assets,Description for category 3241
Category 3242,Operating assets,Description for category 3242
Category 3243,Operating assets,Description for category 3243
Category 3244,Intangible assets,Description for category 3244
Category 3245,Operating assets,Description for category 3245
Category 3246,Intangible assets,Description for category 3246
Category 3247,Intangible assets,Description for category 3247
Category 3248,Operating assets,Description for category 3248
Category 3249,Tangible assets,Description for category 3249
Category 3250,Operating assets,Description for category 3250
Category 3251,Tangible assets,Description for category 3251
Category 3252,Operating assets,Description for category 3252
Category 3253,Tangible assets,Description for category 3253
Category 3254,Intangible assets,Description for category 3254
Category 3255,Tangible assets,Description for category 3255
Category 3256,Operating assets,Description for category 3256
Category 3257,Operating assets,Description for category 3257
Category 3258,Intangible assets,Description for category 3258
Category 3259,Operating assets,Description for category 3259
Category 3260,Operating assets,Description for category 3260
Category 3261,Intangible assets,Description for category 3261
Category 3262,Tangible assets,Description for category 3262
Category 3263,Intangible assets,Description for category 3263
Category 3264,Tangible assets,Description for category 3264
Category 3265,Tangible assets,Description for category 3265
Category 3266,Intangible assets,Description for category 3266
Category 3267,Tangible assets,Description for category 3267
Category 3268,Operating assets,Description for category 3268
Category 3269,Operating assets,Description for category 3269
Category 3270,Intangible assets,Description for category 3270
Category 3271,Tangible assets,Description for category 3271
Category 3272,Operating assets,Description for category 3272
Category 3273,Operating assets,Description for category 3273
Category 3274,Operating assets,Description for category 3274
Category 3275,Tangible assets,Description for category 3275
Category 3276,Operating assets,Description for category 3276
Category 3277,Operating assets,Description for category 3277
Category 3278,Operating assets,Description for category 3278
Category 3279,Operating assets,Description for category 3279
Category 3280,Tangible assets,Description for category 3280
Category 3281,Intangible assets,Description for category 3281
Category 3282,Tangible assets,Description for category 3282
Category 3283,Tangible assets,Description for category 3283
Category 3284,Tangible assets,Description for category 3284
Category 3285,Operating assets,Description for category 3285
Category 3286,Operating assets,Description for category 3286
